Código;Código alternativo;Nombre;Marca
12351100;;JUNTA KLINGER SIL P/TEMP.ESP.1MM DE 1.50X2MT       - C4243B - VERDE;KLINGERSIL
90013302;;"JUNTA KLINGERI 200 P/BRIDAS 6"" X 2MM DE ESPESOR";
75018836;4430;"JUNTA METALICA KLINGER 4430 ESP. 1.5 SERIE 150 2""";KLINGER
75018834;4430;"JUNTA METALICA KLINGER 4430 ESP. 1.5 SERIE 150 3""";KLINGER
90023878;T0150RFB0520;"JUNTA P/BRIDA 1.1/2"" X 2MM  S300 RF (C-4430)";KLINGER
90023879;T0150RFB0550;"JUNTA P/BRIDA 1.1/2"" X 5MM  S300 RF (C-4430)";KLINGER
75008906;;"JUNTA PLANA P/BRIDA 2""RF S150 ESP 1/16"" MAT MM3070";
75008907;;"JUNTA PLANA P/BRIDA 3""RF S150 ESP 1/16"" MAT MM3070";
75008908;;"JUNTA PLANA P/BRIDA 4""RF S150 ESP 1/16"" MAT MM3070";
75008909;;"JUNTA PLANA P/BRIDA 6""RF S150 ESP 1/16"" MAT MM3070";
57811772;K80004;JUNTA SELLANTE KLINGER SEALEX 20 X 7MM X 5 MTS;KLINGER
57811770;;JUNTA SELLANTE TEFLON 20 X 7 MM X 5MTS TEADIT 24B;TEADIT
87581126;;"JUNTA SERIE 150 ESPESOR 1.5 6"" KLINGER";
76777054;7766;"JUNTA UNIVERSAL - CARDAN - ENC 3/8"" ART. 7766      - CUADRANTE MACHO 3/8"" / HEMBRA 3/8""";BAHCO
12632111;97-86-211;"JUNTA UNIVERSAL 50 MM  P/BOCALLAVE ENC. 3/8""";STANLEY
75007458;97-86-411;"JUNTA UNIVERSAL 68 MM  P/BOCALLAVE ENC. 1/2""";STANLEY
52007762;8966;"JUNTA UNIVERSAL DE 3/4""";BAHCO
99991766;;"JUNTA UNIVERSAL DE IMPACTO ENC. 1""";
99992604;;"JUNTA UNIVERSAL DE IMPACTO ENC. 1/2""";
99991765;;"JUNTA UNIVERSAL DE IMPACTO ENC. 3/4""";
70010707;105-40-1;"JUNTA UNIVERSAL ENC. 1/4""";IRIMO
70102809;7234012 / 3M 65631;JUNTAS - 7234012;DBI SALA / 3M
90022377;;JUNTAS DE GOMA PARA TUBOS DE VIDRIO;
39856242;;JUNTAS DEL CARBURADOR PARA STIHL FS 450;STIHL
90023028;T0200RFA0520;JUNTAS P/BRIDA S-150 D=2'' RESISTE CIANURO;KLINGER
72115452;K-SCKIT-155-2-4;K-SCKIT-155-2-400-VEST SERVICEMAN PLUS KIT CAN CAL;PARKER
77777677;;KEROSENE X 1 LITRO;
45001351;KEW-3132A;KEW INSULATION/CONTINUITY TESTER ANALOGUE;KYORITSU
72190451;;KG. DIAM.  002,50         VARILLAS DE BRONCE P/    SOLDAR;IND ARG
99992763;;KILL MASTER SPILL PARA SUELO;CRUNCH OIL
500298;;KILO DE RETAZOS DE FIELTRO AISLANTE IGNIFUGO;
500299;;KILO DE RETAZOS DE TELA KEVLAR ALUMINIZADA 1086;
90024607;KV-40;KILOVOLTIMETRO AC/DC DE 0-40KV;TYRCO
80013640;6702;KILOVOLTIMETRO DIGITAL RANGO  0-40 KV;HASTINGS
46552153;;KIT  6 PUNTAS  SOLDADOR WELLER -ET Wes51/50,wesd5;WELLER
99992652;50170112;"KIT ""4X4"" ESLINGA X 9 MTS x 50 MM GRILLETES 5/8,   GUANTES Y ESTUCHE";X URBAN
55253180;30308001;"KIT ""BASICO"" PARA ESPACIOS CONFINADOS";X URBAN
55253182;30308002;"KIT ""INTERMEDIO: PARA ESPACIOS CONFINADOS";X URBAN
88881150;10217438;KIT 12 ADVANTAGE 200 + 12 PARES CARTUCHO ADVANTAGE GMA-P100;MSA
99882485;TER-SPB1200;KIT 1200 TERMINALES TIFF PUNTERAS SPB-1200;BRINNA
90033504;1600A01B6Z;KIT 2 BATERIAS X 2 A.h + CARGADOR GAL 12V-20;BOSCH
